"Page","Section","Section Description"
"Home","Navbar",""
"","Feature Section","Announcement bar highlighting next-day delivery promise."
"","Hero Header Section","Hero section featuring best-sellers and shopping by occasion."
"","Features List Section","Showcase an elevated 'Shop by Brand' offering with A-Z houses."
"","Features List Section","Grid displaying best-selling products."
"","Features List Section","Section to shop by occasion such as Eid, Wedding, and Gifting."
"","Feature Section","Trust strip communicating authenticity and cash-on-delivery (COD) signals."
"","Feature Section","Interactive ""Find My Scent"" assist tool to help customers discover scents."
"","Features List Section","Shop by category section highlighting popular product types."
"","Feature Section","Band promoting gift sets and discovery kits."
"","Feature Section","Teaser section introducing fragrance guides and tips."
"","Reviews Section","Social proof section with customer reviews and testimonials."
"","Newsletter Section","Capture email and WhatsApp subscriptions for updates and offers."
"","Footer",""
"Crazy Deals","Navbar",""
"","Header Section","Page header introducing the exclusive Crazy Deals and limited-time offers."
"","Feature Section","Highlight the top deal of the day or week with product image, price, and savings."
"","Features List Section","List up to 3 key benefits or reasons to shop Crazy Deals (e.g., deep discounts, limited stock, next-day delivery)."
"","Ecommerce Product Section","Showcase a grid of all active Crazy Deal products with clear pricing and discount badges."
"","Testimonial Section","Customer testimonials about the value and experience with Crazy Deals."
"","FAQ Section","Answer frequently asked questions"
"","CTA Section","Urgent call-to-action to shop now before deals expire, with timer if applicable."
"","Footer",""
"Best Seller","Navbar",""
"","Header Section","Page header introducing the Best Sellers collection."
"","Features List Section","Breadcrumbs and dynamic filter & sort bar (Brand, Family, Price, Occasion)."
"","Features List Section","Grid showcasing top-selling products."
"","Feature Section","Find My Scent Assist tool for personalized recommendations."
"","FAQ Section","Answer frequently asked questions"
"","CTA Section","Invite visitors to inquire about or purchase the product or service"
"","Footer",""
"New Arrivals","Navbar",""
"","Header Section","Page header introducing the latest fragrance arrivals and what makes them unique."
"","Features List Section","Brief highlights: trending new launches, exclusive drops, and editor’s picks."
"","Ecommerce Products List Section","Filterable and sortable product grid showing all new arrivals."
"","Feature Section","""Find My Scent Assist"" tool for personalized recommendations among new arrivals."
"","Reviews Section","Customer reviews/social proof for select new launches."
"","FAQ Section","Answer frequently asked questions"
"","CTA Section","Prompt to subscribe for updates on future arrivals or limited editions."
"","Footer",""
"Shop All Products","Navbar",""
"","Header Section","Header with breadcrumbs to orient users within the site."
"","Feature Section","Filter & Sort Bar allowing users to filter by Brand, Family, Price, and Occasion."
"","Ecommerce Products List Section","Product Grid displaying all available products."
"","Feature Section","Find My Scent Assist tool for personalized product recommendations."
"","FAQ Section","Answer frequently asked questions"
"","CTA Section","Invite visitors to inquire about or purchase the product or service"
"","Footer",""
"Brand Index","Navbar",""
"","Header Section","Page header with title and introductory copy for brand discovery."
"","Feature Section","'Our Brands' elevated area spotlighting featured collections (e.g., Fragrance Secrets/Secret Scents)."
"","Features List Section","A-Z All Brands Grid listing 47+ fragrance houses for browsing."
"","Feature Section","Sourcing Promise link band highlighting authenticity and sourcing standards."
"","Footer",""
"Brand Collection","Navbar",""
"","Hero Header Section","SEO-optimized brand hero introducing the featured fragrance house and its unique brand story."
"","Feature Section","Trust strip highlighting authenticity, authorized sourcing, and customer guarantees."
"","Features List Section","Filter & Sort bar allowing users to refine products by price, family, occasion, and more."
"","Ecommerce Product Section","Product grid showcasing all products from the selected brand."
"","Features List Section","Related Houses discovery section suggesting similar or complementary brands."
"","Footer",""
"Own-Brand Collection","Navbar",""
"","Hero Header Section","Story-led hero highlighting heritage and inspiration of the own-brand."
"","Ecommerce Product Section","Grid displaying all own-brand products."
"","Feature Section","Trust/counterfeit framing section emphasizing authenticity and quality assurance."
"","Footer",""
"Category Collection","Navbar",""
"","Header Section","Introductory header with SEO-focused copy about the variety of perfume categories available."
"","Features List Section","Highlights each main category: Men’s Perfumes, Women’s Perfumes, Kids Perfumes."
"","Features List Section","Highlights Unisex Perfumes, Luxury Perfumes, Miracle Plant."
"","Features List Section","Showcases Perfume Oil, Attar, Arabic Perfumes, Inspired Perfumes."
"","Project List Section","Filter & Sort bar (by gender, type, family, price)."
"","Ecommerce Product Section","Product grid displaying perfumes under the selected category."
"","Feature Section","Cross-category discovery links to encourage browsing other relevant collections."
"","FAQ Section","Answer frequently asked questions"
"","CTA Section","Invite visitors to inquire about or purchase the product or service"
"","Footer",""
"Men’s Perfumes","Navbar",""
"","Header Section","Page header introducing the Men’s Perfumes collection, highlighting key qualities and appeal for men."
"","How It Works Section","Brief guide on how to choose fragrances for men (e.g., by occasion, season, or style)."
"","Features List Section","Key features of the men’s collection: long-lasting scents, designer & niche options, and exclusive picks."
"","Pricing Section","Optional: Overview of pricing tiers or value sets for men’s perfumes."
"","Ecommerce Products List Section","Filterable and sortable product grid of all men’s perfumes."
"","FAQ Section","Common questions answered about men’s fragrances and recommendations."
"","CTA Section","Prompt to try the Find My Scent quiz or view gifting options."
"","Footer",""
"Women’s Perfumes","Navbar",""
"","Header Section","Page header with ""Women's Perfumes"" title and brief SEO-focused intro."
"","Features List Section","Filter & Sort Bar (Brand, Family, Price, Occasion)."
"","Ecommerce Product Section","Product Grid displaying all women's perfumes."
"","Features List Section","Cross-Category Discovery links (e.g., Shop by Occasion, Scent Family, Best Sellers)."
"","Feature Section","""Find My Scent"" Assist interactive tool for guided product discovery."
"","Footer",""
"Kids Perfumes","Navbar",""
"","Header Section","Introductory header with playful, kid-friendly visuals and SEO-rich copy about the Kids Perfumes collection."
"","Features List Section","Features list spotlighting safe ingredients, gentle formulations, and age-appropriate scents."
"","Ecommerce Products List Section","Filterable product grid displaying all kids’ perfumes with sorting options (brand, price, occasion, scent-family)."
"","Feature Section","Trust and safety assurance section emphasizing hypoallergenic testing and authenticity."
"","Features List Section","Cross-category discovery links (e.g., Kids Gift Sets, Occasions, Family Collections)."
"","Reviews Section","Customer reviews and testimonials from parents and guardians."
"","FAQ Section","Frequently asked questions about kids' perfumes (safety, age recommendations, returns)."
"","Footer",""
"Unisex Perfumes","Navbar",""
"","Header Section","SEO-focused header introducing the Unisex Perfumes collection."
"","Feature Section","Intro copy emphasizing the appeal and versatility of unisex scents."
"","Features List Section","Filter & Sort Bar to refine by brand, scent family, price, and occasion."
"","Ecommerce Product Section","Product Grid showcasing all unisex perfumes."
"","Features List Section","Cross-category discovery links to related scent families or occasions."
"","Feature Section","""Find My Scent"" assist tool to help visitors select their ideal unisex fragrance."
"","Footer",""
"Luxury Perfumes","Navbar",""
"","Header Section","SEO-focused header introducing the Luxury Perfumes collection and its unique appeal."
"","Feature Section","Intro copy highlighting the exclusivity, craftsmanship, and heritage of luxury fragrances."
"","Features List Section","Filter & Sort bar allowing users to refine by Brand, Scent Family, Price, and Occasion."
"","Ecommerce Product Section","Product grid showcasing all luxury perfumes in the collection."
"","Features List Section","Cross-category discovery links (e.g., ""Explore More Luxury,"" ""Shop by Brand,"" ""Shop by Occasion"" CTAs)."
"","Feature Section","Trust strip emphasizing authenticity, official sourcing, and premium service."
"","Footer",""
"Miracle Plant","Navbar",""
"","Header Section","Intro header featuring the Miracle Plant collection name and a brief, engaging overview of its inspiration and uniqueness."
"","Hero Header Section","Story-led hero highlighting the heritage, natural origins, and benefits of the Miracle Plant collection."
"","Ecommerce Product Section","Product grid displaying all Miracle Plant collection items with prices, images, and key details."
"","Feature Section","Section detailing the trust and authenticity of the Miracle Plant range, with emphasis on quality, sourcing, and anti-counterfeit measures."
"","Testimonial Section","Selected customer reviews and testimonials specific to the Miracle Plant collection."
"","CTA Section","Call-to-action to explore the full range, learn more about the Miracle Plant, or shop now."
"","Footer",""
"Perfume Oil","Navbar",""
"","Header Section","Intro header with SEO-rich copy about perfume oils, highlighting heritage and benefits."
"","Features List Section","List of unique selling points: alcohol-free, long-lasting, and skin-friendly."
"","Features List Section","Filter & Sort Bar for Brand, Family, Price, and Occasion."
"","Ecommerce Product Section","Grid of available perfume oils with images, names, and prices."
"","Feature Section","Trust/Authenticity badge with a brief on genuine oils and sourcing promise."
"","Features List Section","Cross-category links: shop other collections like Attars, Perfume Sprays, and Gift Sets."
"","Testimonial Section","Section with customer testimonials for social proof."
"","CTA Section","Call-to-action to explore gift sets or try a sampler."
"","Footer",""
"Attar","Navbar",""
"","Header Section","Page header introducing Attar collection, highlighting its tradition and uniqueness."
"","Feature Section","Section spotlighting the heritage and artisanal process of Attar making."
"","Features List Section","List of key benefits: alcohol-free, long-lasting, travel-friendly."
"","Benefits Section","Benefits of choosing Attars for personal use and gifting."
"","Pricing Section","Overview of pricing tiers and value propositions for Attar products."
"","Ecommerce Products List Section","Grid of Attar products with filtering and sorting options."
"","Features List Section","Cross-category discovery: links to related collections (e.g., Perfume Oil, Luxury Perfumes, Unisex Perfumes)."
"","Testimonial Section","Customer testimonials and reviews specific to Attar products."
"","CTA Section","Call-to-action encouraging visitors to explore, try, or gift Attars."
"","FAQ Section","Frequently asked questions about Attars (application, storage, sourcing)."
"","Footer",""
"Arabic Perfumes","Navbar",""
"","Header Section","Intro header with SEO-focused copy about Arabic Perfumes, their heritage, and unique scent profiles."
"","Features List Section","Filter & Sort options (Brand, Scent Family, Price, Occasion) for easy browsing."
"","Ecommerce Product Section","Product grid showcasing all Arabic Perfumes available."
"","Features List Section","Cross-category discovery links to related collections (e.g., Oud, Attar, Unisex Arabic Scents)."
"","FAQ Section","FAQs about Arabic Perfumes (origins, ingredients, longevity, etc.)."
"","CTA Section","Call-to-action to try “Find My Scent” for personalized Arabic perfume recommendations."
"","Footer",""
"Inspired Perfumes","Navbar",""
"","Header Section","Page header introducing the Inspired Perfumes collection and its unique appeal."
"","Features List Section","Introductory copy highlighting value, artistry, and best-loved inspirations (SEO focused)."
"","Features List Section","Filter & Sort Bar for Brand, Scent Family, Price, and Occasion."
"","Ecommerce Product Section","Product grid showcasing all Inspired Perfumes."
"","Feature Section","Trust/Authenticity framing—explaining sourcing and quality."
"","Features List Section","Cross-category discovery links to related scent families and occasions."
"","Footer",""
"Scent-Family Collection","Navbar",""
"","Header Section","Page header with Scent-Family name and SEO-focused intro copy."
"","Features List Section","Filter & Sort bar (Brand, Price, Occasion, Family)."
"","Ecommerce Product Section","Product grid featuring all products within the scent family."
"","Features List Section","Cross-category discovery links to related families and collections."
"","Footer",""
"Shop by Lifestyle","Navbar",""
"","Header Section","Introductory header introducing the concept of shopping fragrances tailored for different lifestyles and occasions."
"","Features List Section","Feature grid with each tile representing a lifestyle segment: Office Wear Fragrances, Date Night Perfumes, Party & Clubbing Fragrances."
"","Features List Section","Feature grid continuing with: Wedding & Formal Event Perfumes, Everyday Signature Scents, Gym & Active Lifestyle Perfumes."
"","Features List Section","Feature grid continuing with: Travel Friendly Fragrances, Weekend Casual Perfumes, Luxury Executive Perfumes."
"","Features List Section","Feature grid continuing with: Vacation & Beach Perfumes, Dinner & Evening Wear Fragrances, Festival & Celebration Perfumes, Outdoor Adventure Fragrances."
"","Ecommerce Products List Section","Product grid displaying recommended fragrances per selected lifestyle segment, with filters to refine by brand, scent family, or price."
"","Feature Section","""Find My Scent"" assist call-to-action to personalize product discovery for lifestyle needs."
"","Testimonial Section","Testimonials or reviews from customers who found their perfect scent for a specific lifestyle."
"","CTA Section","Call-to-action inviting users to explore all lifestyle categories or take the scent quiz for personalized recommendations."
"","Footer",""
"Office Wear Fragrances","Navbar",""
"","Header Section","Introductory header with page title and brief explanation of office-appropriate fragrances."
"","Feature Section","Highlight the benefits of wearing subtle, sophisticated fragrances in professional settings."
"","Features List Section","Feature up to three top recommendations or fragrance styles ideal for work (e.g., fresh, clean, non-intrusive)."
"","Pricing Section","Optional—highlight special offers or bundles for office fragrances (if applicable)."
"","Ecommerce Products List Section","Product grid of office wear fragrances with filtering and sorting options."
"","Gallery Section","Lifestyle imagery showing fragrances in work environments."
"","CTA Section","Encouragement to explore or try a sampler specifically for office wear."
"","FAQ Section","Common questions about choosing and wearing office fragrances."
"","Footer",""
"Date Night Perfumes","Navbar",""
"","Header Section","Page introduction with SEO-optimized copy focused on romantic/date night fragrances."
"","Hero Header Section","Themed hero featuring a romantic, elegant visual and a highlighted “Shop Date Night Scents” CTA."
"","Features List Section","Highlight up to 3 unique selling points for date night perfumes (e.g., long-lasting, alluring notes, top-seller picks)."
"","Pricing Section","Optional: Highlight special offers or bundles for date night perfumes."
"","Ecommerce Products List Section","Product grid featuring curated perfumes ideal for date nights, with filter/sort options."
"","FAQ Section","Frequently asked questions about choosing the perfect date night fragrance."
"","CTA Section","Enticing call-to-action for “Find My Date Night Scent” quiz or to explore related collections."
"","Footer",""
"Party & Clubbing Fragrances","Navbar",""
"","Header Section","Page title and intro copy focused on the allure and energy of Party & Clubbing fragrances (SEO-optimized, includes relevant keywords)."
"","Features List Section","Highlight up to three key benefits/features of party fragrances (e.g., long-lasting projection, bold scent profiles, statement-making notes)."
"","Pricing Section","Optional: Showcase any special offers or bundles for this category."
"","Ecommerce Products List Section","Filterable product grid of party & clubbing fragrances (with filters for brand, notes, price, etc.)."
"","FAQ Section","FAQs specific to selecting and wearing fragrances for nightlife."
"","CTA Section","Encouragement to explore more or try the ""Find My Scent"" assist for personalized party fragrance recommendations."
"","Footer",""
"Wedding & Formal Event Perfumes","Navbar",""
"","Header Section","Page introduction highlighting curated fragrances for weddings and formal occasions."
"","Hero Header Section","Themed hero visually celebrating wedding and formal event moments."
"","Features List Section","Highlight key value propositions: lasting power, elegance, and occasion-appropriateness."
"","Pricing Section","Optional section if showcasing special bundles or offers."
"","Ecommerce Products List Section","Curated product grid of wedding and formal event perfumes."
"","FAQ Section","Addressing common gifting and event fragrance questions."
"","CTA Section","Encourage visitors to explore more or consult a fragrance expert for special events."
"","Footer",""
"Everyday Signature Scents","Navbar",""
"","Header Section","Introductory section with SEO-focused copy about versatile, daily-wear fragrances."
"","Features List Section","Key benefits/features of everyday signature scents (e.g., suitable for any occasion, subtle yet memorable, long-lasting freshness)."
"","Ecommerce Products List Section","Filterable and sortable product grid showcasing all everyday signature scents."
"","Features List Section","Cross-category discovery links (e.g., explore Office Wear, Date Night, or Summer Perfumes)."
"","Reviews Section","Customer reviews specific to everyday signature scents."
"","CTA Section","Call-to-action inviting users to try the “Find My Scent” quiz for tailored recommendations."
"","Footer",""
"Gym Perfumes","Navbar",""
"","Header Section","Page title and brief intro about fresh, clean scents ideal for active lifestyles and gym-goers."
"","Features List Section","Highlight up to 3 key benefits of gym-appropriate perfumes (e.g. sweat-friendly scents, lightweight formulas, non-overpowering projection)."
"","Features List Section","Filter & Sort Bar allowing users to refine perfumes by brand, scent family, longevity, and price."
"","Ecommerce Product Section","Product Grid showcasing gym-appropriate perfumes with images, names, and prices."
"","Features List Section","Cross-category discovery links for related collections (Summer Perfumes, Skin-Scents, Everyday Signature Scents)."
"","Reviews Section","Customer reviews/testimonials specifically for gym perfumes."
"","CTA Section","Call to action encouraging visitors to try “Find My Scent” or browse best-sellers."
"","Footer",""
"Travel Friendly Fragrances","Navbar",""
"","Header Section","Introductory header with SEO-focused copy about travel-friendly, portable, and TSA-compliant fragrances."
